sumario_S8__D5_C11_GPovo.txt.seg_S9, 0.6, 0, 1, COMPLEMENTO, 0.1, 0.5, sim
sumario_S7__D2_C3_Estadao.txt.seg_S8, 0.09090909090909091, 0, 0, NOT_RELATION, 0.125, 0.49777777777777776, nao
sumario_S2__D5_C22_GPovo.txt.seg_S13, 0.0, 0, 0, NOT_RELATION, 0.625, 0.3709677419354839, nao
sumario_S2__D5_C22_GPovo.txt.seg_S12, 0.0, 0, 0, NOT_RELATION, 0.5, 0.6050955414012739, nao
sumario_S2__D5_C22_GPovo.txt.seg_S11, 0.0, 0, 0, NOT_RELATION, 0.5, 0.3548387096774194, nao
sumario_S2__D5_C22_GPovo.txt.seg_S10, 0.0, 0, 0, NOT_RELATION, 0.375, 0.21518987341772153, nao
sumario_S1__D2_C15_Estadao.txt.seg_S1, 0.46153846153846156, 0, 1, COMPLEMENTO, 0.0, 0.2229299363057325, sim
sumario_S2__D5_C22_GPovo.txt.seg_S16, 0.0, 0, 0, NOT_RELATION, 0.75, 0.4789915966386555, nao
sumario_S2__D5_C22_GPovo.txt.seg_S15, 0.125, 0, 0, NOT_RELATION, 0.75, 0.5838926174496645, nao
sumario_S2__D5_C22_GPovo.txt.seg_S14, 0.0, 0, 0, NOT_RELATION, 0.625, 0.5161290322580645, nao
sumario_S1__D2_C41_Estadao.txt.seg_S4, 0.29411764705882354, 0, 1, REDUNDANCIA, 0.2, 0.05699481865284974, nao
sumario_S1__D2_C41_Estadao.txt.seg_S5, 0.11764705882352941, 0, 0, NOT_RELATION, 0.4, 0.17616580310880828, nao
sumario_S1__D2_C41_Estadao.txt.seg_S6, 0.058823529411764705, 0, 0, NOT_RELATION, 0.4, 0.1645021645021645, nao
sumario_S1__D2_C41_Estadao.txt.seg_S7, 0.35294117647058826, 0, 1, REDUNDANCIA, 0.6, 0.20207253886010362, nao
sumario_S1__D2_C41_Estadao.txt.seg_S1, 0.9411764705882353, 0, 1, REDUNDANCIA, 0.0, 0.19246861924686193, sim
sumario_S1__D2_C41_Estadao.txt.seg_S2, 0.058823529411764705, 0, 0, NOT_RELATION, 0.0, 0.5181347150259067, nao
sumario_S1__D2_C41_Estadao.txt.seg_S3, 0.058823529411764705, 0, 0, NOT_RELATION, 0.2, 0.3588039867109635, nao
sumario_S1__D2_C41_Estadao.txt.seg_S8, 0.058823529411764705, 0, 0, NOT_RELATION, 0.6, 0.025906735751295335, nao
sumario_S1__D2_C41_Estadao.txt.seg_S9, 0.058823529411764705, 0, 0, NOT_RELATION, 0.8, 0.45077720207253885, nao
sumario_S5__D1_C48_Folha.txt.seg_S7, 0.0, 0, 0, NOT_RELATION, 0.25, 0.2833333333333333, nao
sumario_S6__D3_C21_JB.txt.seg_S8, 0.5333333333333333, 0, 1, REDUNDANCIA, 0.2857142857142857, 0.14102564102564102, sim
sumario_S6__D3_C21_JB.txt.seg_S9, 0.26666666666666666, 0, 0, NOT_RELATION, 0.42857142857142855, 0.31277533039647576, nao
sumario_S7__D2_C3_Estadao.txt.seg_S9, 0.0, 1, 0, NOT_RELATION, 0.25, 0.2831858407079646, nao
sumario_S4__D1_C7_Estadao.txt.seg_S3, 0.0, 0, 0, NOT_RELATION, 0.6666666666666666, 0.4117647058823529, nao
sumario_S5__D1_C48_Folha.txt.seg_S6, 0.0, 0, 0, NOT_RELATION, 0.375, 0.5222222222222223, nao
sumario_S6__D3_C21_JB.txt.seg_S2, 0.0, 0, 0, NOT_RELATION, 0.5714285714285714, 0.09826589595375723, nao
sumario_S6__D3_C21_JB.txt.seg_S3, 0.13333333333333333, 0, 0, NOT_RELATION, 0.42857142857142855, 0.006369426751592357, nao
sumario_S6__D3_C21_JB.txt.seg_S1, 0.13333333333333333, 1, 0, NOT_RELATION, 0.7142857142857143, 0.2, nao
sumario_S6__D3_C21_JB.txt.seg_S6, 0.06666666666666667, 0, 0, NOT_RELATION, 0.0, 0.38461538461538464, nao
